text,split_sentences
Neither of these instruments makes a pure tone That s what a tuning fork or electronic synthesizer makes Both instruments make a mixture of many frequencies with the peak tuned to the same note The timbre difference is the relationship between all those other frequencies to the primary frequency,"[('Neither', 0), ('of', 0), ('these', 0), ('instruments', 0), ('makes', 0), ('a', 0), ('pure', 0), ('tone', 0), ('That', 0), ('s', 0), ('what', 0), ('a', 0), ('tuning', 0), ('fork', 0), ('or', 0), ('electronic', 0), ('synthesizer', 0), ('makes', 0), ('Both', 0), ('instruments', 0), ('make', 0), ('a', 0), ('mixture', 0), ('of', 0), ('many', 0), ('frequencies', 0), ('with', 0), ('the', 0), ('peak', 0), ('tuned', 0), ('to', 0), ('the', 0), ('same', 0), ('note', 0), ('The', 0), ('timbre', 0), ('difference', 0), ('is', 0), ('the', 0), ('relationship', 0), ('between', 0), ('all', 0), ('those', 0), ('other', 0), ('frequencies', 0), ('to', 0), ('the', 0), ('primary', 0), ('frequency', 0)]"
As others have stated Harmonics or overtones are what define the timbre or sound quality in instruments Plucking a the lowest string on a guitar E will produce a fundamental tone or frequency of 82 Hz What makes it sound like a guitar is the layering of the harmonics or overtones on top of that main tone The cool thing about harmonics is that they are whole number multiples above the main tone Example The loudest tone heard when plucking the low string on a guitar would be 82 Hz but you would also hear 162 Hz 264 Hz 328 Hz 410 Hz 492 Hz 574 Hz 656 Hz and so on - up the our limit of hearing 82 Hz X 1 82 Hz X 2 82 Hz X 3 etc Each of these frequencies represents different notes other than the E note that was plucked on the guitar The timbre or sound quality of the instrument is defined by how loud each of those overtone frequencies or notes is The mechanical action of the string vibrating is what causes these overtones Otherwise it would just sound like a pure sine wave To complicate things keys on pianos have anywhere from 1 to 3 strings It s impossible to perfectly tune 2 or 3 strings to be EXACTLY in tune with each other This creates an even more complex sound since you are actually hearing notes that are slightly off from each other i e 80 Hz 82 Hz 83 Hz with their respective overtones If the strings are way out of tune from each other you start to get that honky tonk sound This is an oversimplification of what is going on with timbre but hopefully gets the point across There are many other factors like string length attack plucking finger picking piano hammer and instrument build guitar body shape piano size etc that also contribute to timbre,"[('As', 0), ('others', 0), ('have', 0), ('stated', 0), ('Harmonics', 0), ('or', 0), ('overtones', 0), ('are', 0), ('what', 0), ('define', 0), ('the', 0), ('timbre', 0), ('or', 0), ('sound', 0), ('quality', 0), ('in', 0), ('instruments', 0), ('Plucking', 0), ('a', 0), ('the', 0), ('lowest', 0), ('string', 0), ('on', 0), ('a', 0), ('guitar', 0), ('E', 0), ('will', 0), ('produce', 0), ('a', 0), ('fundamental', 0), ('tone', 0), ('or', 0), ('frequency', 0), ('of', 0), ('82', 0), ('Hz', 0), ('What', 0), ('makes', 0), ('it', 0), ('sound', 0), ('like', 0), ('a', 0), ('guitar', 0), ('is', 0), ('the', 0), ('layering', 0), ('of', 0), ('the', 0), ('harmonics', 0), ('or', 0), ('overtones', 0), ('on', 0), ('top', 0), ('of', 0), ('that', 0), ('main', 0), ('tone', 0), ('The', 0), ('cool', 0), ('thing', 0), ('about', 0), ('harmonics', 0), ('is', 0), ('that', 0), ('they', 0), ('are', 0), ('whole', 0), ('number', 0), ('multiples', 0), ('above', 0), ('the', 0), ('main', 0), ('tone', 0), ('Example', 0), ('The', 0), ('loudest', 0), ('tone', 0), ('heard', 0), ('when', 0), ('plucking', 0), ('the', 0), ('low', 0), ('string', 0), ('on', 0), ('a', 0), ('guitar', 0), ('would', 0), ('be', 0), ('82', 0), ('Hz', 0), ('but', 0), ('you', 0), ('would', 0), ('also', 0), ('hear', 0), ('162', 0), ('Hz', 0), ('264', 0), ('Hz', 0), ('328', 0), ('Hz', 0), ('410', 0), ('Hz', 0), ('492', 0), ('Hz', 0), ('574', 0), ('Hz', 0), ('656', 0), ('Hz', 0), ('and', 0), ('so', 0), ('on', 0), ('-', 0), ('up', 0), ('the', 0), ('our', 0), ('limit', 0), ('of', 0), ('hearing', 0), ('82', 0), ('Hz', 0), ('X', 0), ('1', 0), ('82', 0), ('Hz', 0), ('X', 0), ('2', 0), ('82', 0), ('Hz', 0), ('X', 0), ('3', 0), ('etc', 0), ('Each', 0), ('of', 0), ('these', 0), ('frequencies', 0), ('represents', 0), ('different', 0), ('notes', 0), ('other', 0), ('than', 0), ('the', 0), ('E', 0), ('note', 0), ('that', 0), ('was', 0), ('plucked', 0), ('on', 0), ('the', 0), ('guitar', 0), ('The', 0), ('timbre', 0), ('or', 0), ('sound', 0), ('quality', 0), ('of', 0), ('the', 0), ('instrument', 0), ('is', 0), ('defined', 0), ('by', 0), ('how', 0), ('loud', 0), ('each', 0), ('of', 0), ('those', 0), ('overtone', 0), ('frequencies', 0), ('or', 0), ('notes', 0), ('is', 0), ('The', 0), ('mechanical', 0), ('action', 0), ('of', 0), ('the', 0), ('string', 0), ('vibrating', 0), ('is', 0), ('what', 0), ('causes', 0), ('these', 0), ('overtones', 0), ('Otherwise', 0), ('it', 0), ('would', 0), ('just', 0), ('sound', 0), ('like', 0), ('a', 0), ('pure', 0), ('sine', 0), ('wave', 0), ('To', 0), ('complicate', 0), ('things', 0), ('keys', 0), ('on', 0), ('pianos', 0), ('have', 0), ('anywhere', 0), ('from', 0), ('1', 0), ('to', 0), ('3', 0), ('strings', 0), ('It', 0), ('s', 0), ('impossible', 0), ('to', 0), ('perfectly', 0), ('tune', 0), ('2', 0), ('or', 0), ('3', 0), ('strings', 0), ('to', 0), ('be', 0), ('EXACTLY', 0), ('in', 0), ('tune', 0), ('with', 0), ('each', 0), ('other', 0), ('This', 0), ('creates', 0), ('an', 0), ('even', 0), ('more', 0), ('complex', 0), ('sound', 0), ('since', 0), ('you', 0), ('are', 0), ('actually', 0), ('hearing', 0), ('notes', 0), ('that', 0), ('are', 0), ('slightly', 0), ('off', 0), ('from', 0), ('each', 0), ('other', 0), ('i', 0), ('e', 0), ('80', 0), ('Hz', 0), ('82', 0), ('Hz', 0), ('83', 0), ('Hz', 0), ('with', 0), ('their', 0), ('respective', 0), ('overtones', 0), ('If', 0), ('the', 0), ('strings', 0), ('are', 0), ('way', 0), ('out', 0), ('of', 0), ('tune', 0), ('from', 0), ('each', 0), ('other', 0), ('you', 0), ('start', 0), ('to', 0), ('get', 0), ('that', 0), ('honky', 0), ('tonk', 0), ('sound', 0), ('This', 0), ('is', 0), ('an', 0), ('oversimplification', 0), ('of', 0), ('what', 0), ('is', 0), ('going', 0), ('on', 0), ('with', 0), ('timbre', 0), ('but', 0), ('hopefully', 0), ('gets', 0), ('the', 0), ('point', 0), ('across', 0), ('There', 0), ('are', 0), ('many', 0), ('other', 0), ('factors', 0), ('like', 0), ('string', 0), ('length', 0), ('attack', 0), ('plucking', 0), ('finger', 0), ('picking', 0), ('piano', 0), ('hammer', 0), ('and', 0), ('instrument', 0), ('build', 0), ('guitar', 0), ('body', 0), ('shape', 0), ('piano', 0), ('size', 0), ('etc', 0), ('that', 0), ('also', 0), ('contribute', 0), ('to', 0), ('timbre', 0)]"
Yes their is at least in the following In violin pieces we will often alternate between an open string say e and playing an e on the a string It was very common in Baroque and Classical periods There is a term for it but I can 2019t recall-I 2019ll try to find it,"[('Yes', 0), ('their', 0), ('is', 0), ('at', 0), ('least', 0), ('in', 0), ('the', 0), ('following', 0), ('In', 0), ('violin', 0), ('pieces', 0), ('we', 0), ('will', 0), ('often', 0), ('alternate', 0), ('between', 0), ('an', 0), ('open', 0), ('string', 0), ('say', 0), ('e', 0), ('and', 0), ('playing', 0), ('an', 0), ('e', 0), ('on', 0), ('the', 0), ('a', 0), ('string', 0), ('It', 0), ('was', 0), ('very', 0), ('common', 0), ('in', 0), ('Baroque', 0), ('and', 0), ('Classical', 0), ('periods', 0), ('There', 0), ('is', 0), ('a', 0), ('term', 0), ('for', 0), ('it', 0), ('but', 0), ('I', 0), ('can', 0), ('2019t', 0), ('recall-I', 0), ('2019ll', 0), ('try', 0), ('to', 0), ('find', 0), ('it', 0)]"
The amount to which different pitches are present is different For instance I think clarinets only have two frequencies that are majorly present when you play a note A saxophone may have four That is you 2019re not just playing purely A4 with an A4 configuration You may have A5 or A6 or A3 to different amounts according to different instruments The mixture of the different frequencies combined with other factors such as the medium to which the sound travels wood or string or air or brass and amplitude of each frequency results in what we perceive as different timbre There 2019s an amazing lecture by Walter Lewin on musical instruments that demonstrates this,"[('The', 0), ('amount', 0), ('to', 0), ('which', 0), ('different', 0), ('pitches', 0), ('are', 0), ('present', 0), ('is', 0), ('different', 0), ('For', 0), ('instance', 0), ('I', 0), ('think', 0), ('clarinets', 0), ('only', 0), ('have', 0), ('two', 0), ('frequencies', 0), ('that', 0), ('are', 0), ('majorly', 0), ('present', 0), ('when', 0), ('you', 0), ('play', 0), ('a', 0), ('note', 0), ('A', 0), ('saxophone', 0), ('may', 0), ('have', 0), ('four', 0), ('That', 0), ('is', 0), ('you', 0), ('2019re', 0), ('not', 0), ('just', 0), ('playing', 0), ('purely', 0), ('A4', 0), ('with', 0), ('an', 0), ('A4', 0), ('configuration', 0), ('You', 0), ('may', 0), ('have', 0), ('A5', 0), ('or', 0), ('A6', 0), ('or', 0), ('A3', 0), ('to', 0), ('different', 0), ('amounts', 0), ('according', 0), ('to', 0), ('different', 0), ('instruments', 0), ('The', 0), ('mixture', 0), ('of', 0), ('the', 0), ('different', 0), ('frequencies', 0), ('combined', 0), ('with', 0), ('other', 0), ('factors', 0), ('such', 0), ('as', 0), ('the', 0), ('medium', 0), ('to', 0), ('which', 0), ('the', 0), ('sound', 0), ('travels', 0), ('wood', 0), ('or', 0), ('string', 0), ('or', 0), ('air', 0), ('or', 0), ('brass', 0), ('and', 0), ('amplitude', 0), ('of', 0), ('each', 0), ('frequency', 0), ('results', 0), ('in', 0), ('what', 0), ('we', 0), ('perceive', 0), ('as', 0), ('different', 0), ('timbre', 0), ('There', 0), ('2019s', 0), ('an', 0), ('amazing', 0), ('lecture', 0), ('by', 0), ('Walter', 0), ('Lewin', 0), ('on', 0), ('musical', 0), ('instruments', 0), ('that', 0), ('demonstrates', 0), ('this', 0)]"
It really just depends on your amp Tomas doesn t use many effect pedals I m pretty sure he goes straight through to his Mesa boogie amp s distortion So just use your built in distortion and if that isn t enough look at some distortion pedals The boss d-1 pedal is a good one to look at I had an ibanez tonelok sm7 smash box and absolutely loved it until I lost it in a flooded basement,"[('It', 0), ('really', 0), ('just', 0), ('depends', 0), ('on', 0), ('your', 0), ('amp', 0), ('Tomas', 0), ('doesn', 0), ('t', 0), ('use', 0), ('many', 0), ('effect', 0), ('pedals', 0), ('I', 0), ('m', 0), ('pretty', 0), ('sure', 0), ('he', 0), ('goes', 0), ('straight', 0), ('through', 0), ('to', 0), ('his', 0), ('Mesa', 0), ('boogie', 0), ('amp', 0), ('s', 0), ('distortion', 0), ('So', 0), ('just', 0), ('use', 0), ('your', 0), ('built', 0), ('in', 0), ('distortion', 0), ('and', 0), ('if', 0), ('that', 0), ('isn', 0), ('t', 0), ('enough', 0), ('look', 0), ('at', 0), ('some', 0), ('distortion', 0), ('pedals', 0), ('The', 0), ('boss', 0), ('d-1', 0), ('pedal', 0), ('is', 0), ('a', 0), ('good', 0), ('one', 0), ('to', 0), ('look', 0), ('at', 0), ('I', 0), ('had', 0), ('an', 0), ('ibanez', 0), ('tonelok', 0), ('sm7', 0), ('smash', 0), ('box', 0), ('and', 0), ('absolutely', 0), ('loved', 0), ('it', 0), ('until', 0), ('I', 0), ('lost', 0), ('it', 0), ('in', 0), ('a', 0), ('flooded', 0), ('basement', 0)]"
The setup these days Left is for my guitar right is for my Akai Timbre Wolf,"[('The', 0), ('setup', 0), ('these', 0), ('days', 0), ('Left', 0), ('is', 0), ('for', 0), ('my', 0), ('guitar', 1), ('right', 0), ('is', 0), ('for', 0), ('my', 0), ('Akai', 0), ('Timbre', 0), ('Wolf', 0)]"
Chain for the guitar is MXR DynaComp EHX Soulfood Boss BD2 EQD Hoof Boss Tremolo MXR Carbon Copy EQD Space Spiral EHX Canyon For the synth it 2019s EHX C9 Organ Machine Tc Electronic Echobrain EHX Canyon again,"[('Chain', 0), ('for', 0), ('the', 0), ('guitar', 0), ('is', 0), ('MXR', 0), ('DynaComp', 0), ('EHX', 0), ('Soulfood', 0), ('Boss', 0), ('BD2', 0), ('EQD', 0), ('Hoof', 0), ('Boss', 0), ('Tremolo', 0), ('MXR', 0), ('Carbon', 0), ('Copy', 0), ('EQD', 0), ('Space', 0), ('Spiral', 0), ('EHX', 0), ('Canyon', 0), ('For', 0), ('the', 0), ('synth', 0), ('it', 0), ('2019s', 0), ('EHX', 0), ('C9', 0), ('Organ', 0), ('Machine', 0), ('Tc', 0), ('Electronic', 0), ('Echobrain', 0), ('EHX', 0), ('Canyon', 0), ('again', 0)]"
Timbre is an under-theorized aspect of music The best we seem to be able to do is words indicating expression dolce cantando metallic etc or technique pont tasto Classical guitar will also indicate string and position choice where the tonal effect of that choice rather than open strings is important Nothing AFAIK more specific than that Of course the more experienced we get as players the more we understand about how to choose appropriate timbres Personally I don t crave any more precise instructions in notation than we already have but I agree some more precise or conventionally agreed terminology for different timbral sounds would be handy I can t offer any myself though,"[('Timbre', 0), ('is', 0), ('an', 0), ('under-theorized', 0), ('aspect', 0), ('of', 0), ('music', 0), ('The', 0), ('best', 0), ('we', 0), ('seem', 0), ('to', 0), ('be', 0), ('able', 0), ('to', 0), ('do', 0), ('is', 0), ('words', 0), ('indicating', 0), ('expression', 0), ('dolce', 2), ('cantando', 2), ('metallic', 2), ('etc', 0), ('or', 0), ('technique', 0), ('pont', 2), ('tasto', 2), ('Classical', 0), ('guitar', 0), ('will', 0), ('also', 0), ('indicate', 0), ('string', 0), ('and', 0), ('position', 0), ('choice', 0), ('where', 0), ('the', 0), ('tonal', 0), ('effect', 0), ('of', 0), ('that', 0), ('choice', 0), ('rather', 0), ('than', 0), ('open', 0), ('strings', 0), ('is', 0), ('important', 0), ('Nothing', 0), ('AFAIK', 0), ('more', 0), ('specific', 0), ('than', 0), ('that', 0), ('Of', 0), ('course', 0), ('the', 0), ('more', 0), ('experienced', 0), ('we', 0), ('get', 0), ('as', 0), ('players', 0), ('the', 0), ('more', 0), ('we', 0), ('understand', 0), ('about', 0), ('how', 0), ('to', 0), ('choose', 0), ('appropriate', 0), ('timbres', 0), ('Personally', 0), ('I', 0), ('don', 0), ('t', 0), ('crave', 0), ('any', 0), ('more', 0), ('precise', 0), ('instructions', 0), ('in', 0), ('notation', 0), ('than', 0), ('we', 0), ('already', 0), ('have', 0), ('but', 0), ('I', 0), ('agree', 0), ('some', 0), ('more', 0), ('precise', 0), ('or', 0), ('conventionally', 0), ('agreed', 0), ('terminology', 0), ('for', 0), ('different', 0), ('timbral', 0), ('sounds', 0), ('would', 0), ('be', 0), ('handy', 0), ('I', 0), ('can', 0), ('t', 0), ('offer', 0), ('any', 0), ('myself', 0), ('though', 0)]"
jazz musicians call it mugging a note as in what saxists and trumpet players do with half-valving and various keys,"[('jazz', 0), ('musicians', 0), ('call', 0), ('it', 0), ('mugging', 0), ('a', 0), ('note', 0), ('as', 0), ('in', 0), ('what', 0), ('saxists', 0), ('and', 0), ('trumpet', 0), ('players', 0), ('do', 0), ('with', 0), ('half-valving', 0), ('and', 0), ('various', 0), ('keys', 0)]"
In singing I think in terms of color vowel quality and articulation and I ve started to think about guitar playing in the same way as well,"[('In', 0), ('singing', 0), ('I', 0), ('think', 0), ('in', 0), ('terms', 0), ('of', 0), ('color', 0), ('vowel', 0), ('quality', 0), ('and', 0), ('articulation', 0), ('and', 0), ('I', 0), ('ve', 0), ('started', 0), ('to', 0), ('think', 0), ('about', 0), ('guitar', 0), ('playing', 0), ('in', 0), ('the', 0), ('same', 0), ('way', 0), ('as', 0), ('well', 0)]"
Like the guitar in Edge of Seventeen Or a bass player could do this alternating fingers but playing the same note Its purpose would be to accent some notes but not others to define a rhythm so maybe there is a rhythmic term for it I m not a guitarist Timbre changes with a change in velocity or pressure is inherently possible in most acoustic instruments so maybe it s kind of taken for granted and rolled into rhythmic things,"[('Like', 0), ('the', 0), ('guitar', 0), ('in', 0), ('Edge', 0), ('of', 0), ('Seventeen', 0), ('Or', 0), ('a', 0), ('bass', 0), ('player', 0), ('could', 0), ('do', 0), ('this', 0), ('alternating', 0), ('fingers', 0), ('but', 0), ('playing', 0), ('the', 0), ('same', 0), ('note', 0), ('Its', 0), ('purpose', 0), ('would', 0), ('be', 0), ('to', 0), ('accent', 0), ('some', 0), ('notes', 0), ('but', 0), ('not', 0), ('others', 0), ('to', 0), ('define', 0), ('a', 0), ('rhythm', 0), ('so', 0), ('maybe', 0), ('there', 0), ('is', 0), ('a', 0), ('rhythmic', 0), ('term', 0), ('for', 0), ('it', 0), ('I', 0), ('m', 0), ('not', 0), ('a', 0), ('guitarist', 0), ('Timbre', 0), ('changes', 0), ('with', 0), ('a', 0), ('change', 0), ('in', 0), ('velocity', 0), ('or', 0), ('pressure', 0), ('is', 0), ('inherently', 0), ('possible', 0), ('in', 0), ('most', 0), ('acoustic', 0), ('instruments', 0), ('so', 0), ('maybe', 0), ('it', 0), ('s', 0), ('kind', 0), ('of', 0), ('taken', 0), ('for', 0), ('granted', 0), ('and', 0), ('rolled', 0), ('into', 0), ('rhythmic', 0), ('things', 0)]"
Guitar Center and the Timbre Wolf,"[('Guitar', 0), ('Center', 0), ('and', 0), ('the', 0), ('Timbre', 0), ('Wolf', 0)]"
Yes Its called a timbral trill or bisbigliando although this has slightly different interpretations on different instruments In horns and guitars its used for alternating between two positions playing the same pitch,"[('Yes', 0), ('Its', 0), ('called', 0), ('a', 0), ('timbral', 0), ('trill', 0), ('or', 0), ('bisbigliando', 0), ('although', 0), ('this', 0), ('has', 0), ('slightly', 0), ('different', 0), ('interpretations', 0), ('on', 0), ('different', 0), ('instruments', 0), ('In', 0), ('horns', 0), ('and', 0), ('guitars', 0), ('its', 0), ('used', 0), ('for', 0), ('alternating', 0), ('between', 0), ('two', 0), ('positions', 0), ('playing', 0), ('the', 0), ('same', 0), ('pitch', 0)]"
We do have many terms that spectrally mean something but because of an average lack of understanding about complex spectral analysis were left with words like metallic dull dark percussive bright sharp soft etc some timbre words often overlap with dynamic specifications like soft for example that could possibly mean quiet but also imply a method of playing or timbre These I believe are the problem areas that should better be explained Really the problem is language and culture as the culture of historical language in music has evolved to imply more meaning than the words themselves Likely the evolution of language in music will continue to progress towards specific terminology as composers usage of the terms become more detailed and less traditional However it 2019s also likely that it will continue to stay the same for the sake of preserving historical context It 2019s definitely an interesting topic and proves that the language within music is its own culture and is constantly evolving What you are explaining however is not a word for timbre it is a word for technique,"[('We', 0), ('do', 0), ('have', 0), ('many', 0), ('terms', 0), ('that', 0), ('spectrally', 0), ('mean', 0), ('something', 0), ('but', 0), ('because', 0), ('of', 0), ('an', 0), ('average', 0), ('lack', 0), ('of', 0), ('understanding', 0), ('about', 0), ('complex', 0), ('spectral', 0), ('analysis', 0), ('were', 0), ('left', 0), ('with', 0), ('words', 0), ('like', 0), ('metallic', 2), ('dull', 2), ('dark', 2), ('percussive', 2), ('bright', 2), ('sharp', 2), ('soft', 2), ('etc', 0), ('some', 0), ('timbre', 0), ('words', 0), ('often', 0), ('overlap', 0), ('with', 0), ('dynamic', 0), ('specifications', 0), ('like', 0), ('soft', 2), ('for', 0), ('example', 0), ('that', 0), ('could', 0), ('possibly', 0), ('mean', 0), ('quiet', 0), ('but', 0), ('also', 0), ('imply', 0), ('a', 0), ('method', 0), ('of', 0), ('playing', 0), ('or', 0), ('timbre', 0), ('These', 0), ('I', 0), ('believe', 0), ('are', 0), ('the', 0), ('problem', 0), ('areas', 0), ('that', 0), ('should', 0), ('better', 0), ('be', 0), ('explained', 0), ('Really', 0), ('the', 0), ('problem', 0), ('is', 0), ('language', 0), ('and', 0), ('culture', 0), ('as', 0), ('the', 0), ('culture', 0), ('of', 0), ('historical', 0), ('language', 0), ('in', 0), ('music', 0), ('has', 0), ('evolved', 0), ('to', 0), ('imply', 0), ('more', 0), ('meaning', 0), ('than', 0), ('the', 0), ('words', 0), ('themselves', 0), ('Likely', 0), ('the', 0), ('evolution', 0), ('of', 0), ('language', 0), ('in', 0), ('music', 0), ('will', 0), ('continue', 0), ('to', 0), ('progress', 0), ('towards', 0), ('specific', 0), ('terminology', 0), ('as', 0), ('composers', 0), ('usage', 0), ('of', 0), ('the', 0), ('terms', 0), ('become', 0), ('more', 0), ('detailed', 0), ('and', 0), ('less', 0), ('traditional', 0), ('However', 0), ('it', 0), ('2019s', 0), ('also', 0), ('likely', 0), ('that', 0), ('it', 0), ('will', 0), ('continue', 0), ('to', 0), ('stay', 0), ('the', 0), ('same', 0), ('for', 0), ('the', 0), ('sake', 0), ('of', 0), ('preserving', 0), ('historical', 0), ('context', 0), ('It', 0), ('2019s', 0), ('definitely', 0), ('an', 0), ('interesting', 0), ('topic', 0), ('and', 0), ('proves', 0), ('that', 0), ('the', 0), ('language', 0), ('within', 0), ('music', 0), ('is', 0), ('its', 0), ('own', 0), ('culture', 0), ('and', 0), ('is', 0), ('constantly', 0), ('evolving', 0), ('What', 0), ('you', 0), ('are', 0), ('explaining', 0), ('however', 0), ('is', 0), ('not', 0), ('a', 0), ('word', 0), ('for', 0), ('timbre', 0), ('it', 0), ('is', 0), ('a', 0), ('word', 0), ('for', 0), ('technique', 0)]"
Evolving DAWless modular jam One note Haha Really though the way a synthesist can wrangle out incredible timbre variation or a guitarist with a wah pedal was one of the first things that came to mind for me In a guitar music book it usually just says something like with wah-wah I would be interested to know if anyone scores synths in standard notation with patch descriptions Seems like the digital score showing a piano roll and automation lanes may be the optimal solution,"[('Evolving', 2), ('DAWless', 2), ('modular', 0), ('jam', 0), ('One', 0), ('note', 0), ('Haha', 0), ('Really', 0), ('though', 0), ('the', 0), ('way', 0), ('a', 0), ('synthesist', 0), ('can', 0), ('wrangle', 0), ('out', 0), ('incredible', 0), ('timbre', 0), ('variation', 0), ('or', 0), ('a', 0), ('guitarist', 0), ('with', 0), ('a', 0), ('wah', 0), ('pedal', 0), ('was', 0), ('one', 0), ('of', 0), ('the', 0), ('first', 0), ('things', 0), ('that', 0), ('came', 0), ('to', 0), ('mind', 0), ('for', 0), ('me', 0), ('In', 0), ('a', 0), ('guitar', 0), ('music', 0), ('book', 0), ('it', 0), ('usually', 0), ('just', 0), ('says', 0), ('something', 0), ('like', 0), ('with', 0), ('wah-wah', 0), ('I', 0), ('would', 0), ('be', 0), ('interested', 0), ('to', 0), ('know', 0), ('if', 0), ('anyone', 0), ('scores', 0), ('synths', 0), ('in', 0), ('standard', 0), ('notation', 0), ('with', 0), ('patch', 0), ('descriptions', 0), ('Seems', 0), ('like', 0), ('the', 0), ('digital', 0), ('score', 0), ('showing', 0), ('a', 0), ('piano', 0), ('roll', 0), ('and', 0), ('automation', 0), ('lanes', 0), ('may', 0), ('be', 0), ('the', 0), ('optimal', 0), ('solution', 0)]"
I 2019m assuming they 2019re still available as there are folks who still play classical lute and such and want to try to reproduce 201cclassic 201d sounds I know from reading in guitar history that they are extremely problematic Highly sensitive to humidity changes and prone to shredding a bit Nylon was employed to correct these problems and most classical players never looked back Older classical guitar players sometimes referred to their instruments as 201cgut-string 201d guitars but it was just slang They all used nylon,"[('I', 0), ('2019m', 0), ('assuming', 0), ('they', 0), ('2019re', 0), ('still', 0), ('available', 0), ('as', 0), ('there', 0), ('are', 0), ('folks', 0), ('who', 0), ('still', 0), ('play', 0), ('classical', 0), ('lute', 0), ('and', 0), ('such', 0), ('and', 0), ('want', 0), ('to', 0), ('try', 0), ('to', 0), ('reproduce', 0), ('201cclassic', 0), ('201d', 0), ('sounds', 0), ('I', 0), ('know', 0), ('from', 0), ('reading', 0), ('in', 0), ('guitar', 0), ('history', 0), ('that', 0), ('they', 0), ('are', 0), ('extremely', 0), ('problematic', 0), ('Highly', 0), ('sensitive', 0), ('to', 0), ('humidity', 0), ('changes', 0), ('and', 0), ('prone', 0), ('to', 0), ('shredding', 0), ('a', 0), ('bit', 0), ('Nylon', 0), ('was', 0), ('employed', 0), ('to', 0), ('correct', 0), ('these', 0), ('problems', 0), ('and', 0), ('most', 0), ('classical', 0), ('players', 0), ('never', 0), ('looked', 0), ('back', 0), ('Older', 0), ('classical', 0), ('guitar', 0), ('players', 0), ('sometimes', 0), ('referred', 0), ('to', 0), ('their', 0), ('instruments', 0), ('as', 0), ('201cgut-string', 0), ('201d', 0), ('guitars', 1), ('but', 0), ('it', 0), ('was', 0), ('just', 0), ('slang', 0), ('They', 0), ('all', 0), ('used', 0), ('nylon', 0)]"
Just Google gut strings classical guitar and you can find a plethora of discussions videos etc,"[('Just', 0), ('Google', 0), ('gut', 0), ('strings', 0), ('classical', 0), ('guitar', 0), ('and', 0), ('you', 0), ('can', 0), ('find', 0), ('a', 0), ('plethora', 0), ('of', 0), ('discussions', 0), ('videos', 0), ('etc', 0)]"
After getting my HD6XX I can t stop listening to Acoustic and Violin tracks The tone is just so perfect and satisfying,"[('After', 0), ('getting', 0), ('my', 0), ('HD6XX', 0), ('I', 0), ('can', 0), ('t', 0), ('stop', 0), ('listening', 0), ('to', 0), ('Acoustic', 0), ('and', 0), ('Violin', 0), ('tracks', 0), ('The', 0), ('tone', 0), ('is', 0), ('just', 0), ('so', 0), ('perfect', 0), ('and', 0), ('satisfying', 0)]"
Honestly I know what you re going through Being able to TRULY hear the all the nuances to the timbre of acoustic instruments is extremely satisfying Corey Taylor Stone Sour covering Wicked Game in a live acoustic set the guitars sound fantastic,"[('Honestly', 0), ('I', 0), ('know', 0), ('what', 0), ('you', 0), ('re', 0), ('going', 0), ('through', 0), ('Being', 0), ('able', 0), ('to', 0), ('TRULY', 0), ('hear', 0), ('the', 0), ('all', 0), ('the', 0), ('nuances', 0), ('to', 0), ('the', 0), ('timbre', 0), ('of', 0), ('acoustic', 0), ('instruments', 0), ('is', 0), ('extremely', 0), ('satisfying', 0), ('Corey', 0), ('Taylor', 0), ('Stone', 0), ('Sour', 0), ('covering', 0), ('Wicked', 0), ('Game', 0), ('in', 0), ('a', 0), ('live', 0), ('acoustic', 0), ('set', 0), ('the', 0), ('guitars', 0), ('sound', 0), ('fantastic', 0)]"
Well you might want to start considering yourself a synth snob,"[('Well', 0), ('you', 0), ('might', 0), ('want', 0), ('to', 0), ('start', 0), ('considering', 0), ('yourself', 0), ('a', 0), ('synth', 0), ('snob', 0)]"
If you started out looking at the Timbre Wolf he probably would have tried to upsell you to the Prophet D,"[('If', 0), ('you', 0), ('started', 0), ('out', 0), ('looking', 0), ('at', 0), ('the', 0), ('Timbre', 0), ('Wolf', 0), ('he', 0), ('probably', 0), ('would', 0), ('have', 0), ('tried', 0), ('to', 0), ('upsell', 0), ('you', 0), ('to', 0), ('the', 0), ('Prophet', 0), ('D', 0)]"
